match_id,home_team_id,away_team_id,home_ht_goals,away_ht_goals,home_ht_shots,away_ht_shots,home_ht_sog,away_ht_sog,home_ht_corners,away_ht_corners,home_ht_fouls,away_ht_fouls,ht_goals_diff,ht_shots_diff,ht_sog_diff,ht_fouls_diff,final_outcome
3857256,786,773,2,2,7,9,4,5,0,0,6,5,0,-2,-1,1,Loss
3869151,779,792,1,0,2,1,1,0,0,0,3,10,1,1,1,-7,Win
3857257,792,776,0,0,4,5,3,2,0,0,6,6,0,-1,1,0,Win
3857258,781,786,0,0,5,1,3,0,0,0,5,7,0,4,3,-2,Win
3857288,777,792,0,1,4,7,0,2,0,0,9,7,-1,-3,-2,2,Loss
3857267,3565,787,0,1,2,10,0,1,0,0,12,3,-1,-8,-1,9,Loss
3869321,941,779,0,1,1,5,0,3,0,0,9,7,-1,-4,-3,2,Draw
3857287,783,791,0,0,4,2,1,0,0,0,3,5,0,2,1,-2,Draw
3869486,788,780,1,0,7,5,2,1,0,0,5,6,1,2,1,-1,Win
3869685,779,771,2,0,6,0,3,0,0,0,10,11,2,6,3,-1,Draw
3857260,799,794,0,0,4,11,1,3,0,0,10,9,0,-7,-2,1,Loss
3857264,789,779,0,0,2,13,0,8,0,0,4,6,0,-11,-8,-2,Loss
3857266,771,776,0,0,13,2,2,0,0,0,4,5,0,11,2,-1,Win
3857289,779,794,0,0,1,3,0,1,0,0,6,10,0,-2,-1,-4,Win
3857269,781,773,0,0,6,1,2,0,0,0,4,8,0,5,2,-4,Win
3857294,941,3566,1,0,10,3,2,2,0,0,8,5,1,7,0,3,Win
3869254,780,773,2,0,6,4,5,2,0,0,6,5,2,2,3,1,Win
3869118,768,787,2,0,4,3,2,1,0,0,5,6,2,1,1,-1,Win
3869684,785,788,2,1,8,4,4,1,0,0,6,5,1,4,3,1,Win
3869519,779,785,2,0,5,4,4,0,0,0,7,5,2,1,4,2,Win
3869354,768,771,0,1,5,3,3,2,0,0,1,7,-1,2,1,-6,Loss
3869552,771,788,1,0,9,5,1,1,0,0,9,5,1,4,0,4,Win
3869420,785,781,0,0,3,5,0,3,0,0,8,6,0,-2,-3,2,Draw
3869220,788,772,0,0,3,1,1,0,0,0,4,10,0,2,1,-6,Draw
3869219,778,785,1,0,3,3,1,1,0,0,5,3,1,0,0,2,Draw
3869253,781,791,4,0,10,4,6,3,0,0,3,6,4,6,3,-3,Win
3869152,771,789,1,0,8,8,5,1,0,0,5,5,1,0,4,0,Win
3869117,941,1839,2,0,4,3,2,2,0,0,3,1,2,1,0,2,Win
3857270,780,783,0,0,8,4,0,1,0,0,2,10,0,4,-1,-8,Win
3857263,772,770,0,0,4,3,0,1,0,0,8,9,0,1,-1,-1,Draw
3857259,2722,786,1,2,7,8,3,2,0,0,6,5,-1,-1,1,1,Draw
3857295,778,795,0,0,2,3,0,0,0,0,13,8,0,-1,0,5,Loss
3857283,782,788,0,0,6,3,2,0,0,0,5,9,0,3,2,-4,Loss
3857284,770,778,1,0,14,1,5,0,0,0,4,4,1,13,5,0,Loss
3857282,1839,907,1,0,3,2,1,0,0,0,9,4,1,1,1,5,Draw
3857286,3566,3565,0,2,2,3,0,2,0,0,9,7,-2,-1,-2,2,Loss
3857301,3566,787,0,1,2,6,0,2,0,0,6,4,-1,-4,-2,2,Loss
3857300,779,799,1,0,5,0,2,0,0,0,4,9,1,5,2,-5,Loss
3857299,791,4885,0,2,6,3,0,2,0,0,8,4,-2,3,-2,4,Loss
3857298,780,4885,0,0,7,0,2,0,0,0,8,12,0,7,2,-4,Win
3857297,789,799,1,0,3,5,1,3,0,0,8,7,1,-2,-2,1,Win
3857296,785,782,0,0,6,5,0,0,0,0,7,5,0,1,0,2,Draw
3857293,4885,783,0,2,3,5,2,3,0,0,8,7,-2,-2,-1,1,Loss
3857292,795,770,0,1,1,12,1,4,0,0,1,6,-1,-11,-3,-5,Loss
3857291,772,795,3,0,7,0,3,0,0,0,4,6,3,7,3,-2,Win
3857290,773,2722,0,0,3,5,0,2,0,0,5,5,0,-2,-2,0,Win
3857285,787,941,0,0,6,5,1,0,0,0,4,10,0,1,1,-6,Loss
3857281,785,1833,2,1,5,1,4,1,0,0,6,3,1,4,3,3,Win
3857280,2722,781,0,0,1,10,1,3,0,0,11,7,0,-9,-2,4,Win
3857279,771,792,2,1,11,4,2,1,0,0,2,1,1,7,1,1,Win
3857278,797,1839,0,1,0,9,0,3,0,0,8,4,-1,-9,-3,4,Loss
3857277,788,785,0,0,5,4,0,1,0,0,7,7,0,1,-1,0,Draw
3857276,1833,788,0,2,2,7,0,2,0,0,10,4,-2,-5,-2,6,Loss
3857275,777,771,0,0,3,2,2,0,0,0,5,5,0,1,2,0,Win
3857274,941,3565,1,0,1,7,1,1,0,0,10,6,1,-6,0,4,Draw
3857273,907,797,0,0,4,5,2,2,0,0,7,4,0,-1,0,3,Loss
3857272,768,1839,0,0,5,6,1,1,0,0,6,6,0,-1,0,0,Draw
3857271,768,797,3,0,7,1,4,0,0,0,3,12,3,6,4,-9,Win
3857268,782,1833,1,0,4,14,2,2,0,0,3,10,1,-10,0,-7,Win
3857265,794,789,0,0,5,1,1,0,0,0,6,8,0,4,1,-2,Draw
3857262,791,780,1,1,5,10,3,6,0,0,5,4,0,-5,-3,1,Win
3857261,907,768,0,0,2,9,0,2,0,0,8,6,0,-7,-2,2,Loss
3857255,778,772,0,1,2,5,0,3,0,0,8,3,-1,-3,-3,5,Win
3857254,776,777,0,0,3,8,2,1,0,0,8,5,0,-5,1,3,Draw
