match_id,team_id,ht_goals,ht_shots,ht_sog,ht_corners,ht_fouls,total_shots_on_goal
3857256,786,2,7,4,0,6,4
3857256,773,2,9,5,0,5,7
3869151,779,1,2,1,0,3,5
3869151,792,0,1,0,0,10,1
3857257,792,0,4,3,0,6,4
3857257,776,0,5,2,0,6,4
3857258,781,0,5,3,0,5,9
3857258,786,0,1,0,0,7,0
3857288,777,0,4,0,0,9,4
3857288,792,1,7,2,0,7,2
3857267,3565,0,2,0,0,12,4
3857267,787,1,10,1,0,3,3
3869321,941,0,1,0,0,9,7
3869321,779,1,5,3,0,7,9
3857287,783,0,4,1,0,3,1
3857287,791,0,2,0,0,5,0
3869486,788,1,7,2,0,5,3
3869486,780,0,5,1,0,6,3
3869685,779,2,6,3,0,10,14
3869685,771,0,0,0,0,11,8
3857260,799,0,4,1,0,10,2
3857260,794,0,11,3,0,9,10
3857264,789,0,2,0,0,4,0
3857264,779,0,13,8,0,6,13
3857266,771,0,13,2,0,4,6
3857266,776,0,2,0,0,5,2
3857289,779,0,1,0,0,6,2
3857289,794,0,3,1,0,10,1
3857269,781,0,6,2,0,4,5
3857269,773,0,1,0,0,8,0
3857294,941,1,10,2,0,8,4
3857294,3566,0,3,2,0,5,3
3869254,780,2,6,5,0,6,9
3869254,773,0,4,2,0,5,3
3869118,768,2,4,2,0,5,4
3869118,787,0,3,1,0,6,1
3869684,785,2,8,4,0,6,4
3869684,788,1,4,1,0,5,2
3869519,779,2,5,4,0,7,7
3869519,785,0,4,0,0,5,2
3869354,768,0,5,3,0,1,7
3869354,771,1,3,2,0,7,5
3869552,771,1,9,1,0,9,2
3869552,788,0,5,1,0,5,1
3869420,785,0,3,0,0,8,5
3869420,781,0,5,3,0,6,14
3869220,788,0,3,1,0,4,6
3869220,772,0,1,0,0,10,3
3869219,778,1,3,1,0,5,8
3869219,785,0,3,1,0,3,7
3869253,781,4,10,6,0,3,10
3869253,791,0,4,3,0,6,6
3869152,771,1,8,5,0,5,8
3869152,789,0,8,1,0,5,2
3869117,941,2,4,2,0,3,6
3869117,1839,0,3,2,0,1,6
3857270,780,0,8,0,0,2,3
3857270,783,0,4,1,0,10,3
3857263,772,0,4,0,0,8,2
3857263,770,0,3,1,0,9,4
3857259,2722,1,7,3,0,6,8
3857259,786,2,8,2,0,5,5
3857295,778,0,2,0,0,13,3
3857295,795,0,3,0,0,8,1
3857283,782,0,6,2,0,5,4
3857283,788,0,3,0,0,9,4
3857284,770,1,14,5,0,4,9
3857284,778,0,1,0,0,4,4
3857282,1839,1,3,1,0,9,1
3857282,907,0,2,0,0,4,3
3857286,3566,0,2,0,0,9,0
3857286,3565,2,3,2,0,7,3
3857301,3566,0,2,0,0,6,3
3857301,787,1,6,2,0,4,4
3857300,779,1,5,2,0,4,6
3857300,799,0,0,0,0,9,2
3857299,791,0,6,0,0,8,6
3857299,4885,2,3,2,0,4,3
3857298,780,0,7,2,0,8,5
3857298,4885,0,0,0,0,12,3
3857297,789,1,3,1,0,8,3
3857297,799,0,5,3,0,7,5
3857296,785,0,6,0,0,7,4
3857296,782,0,5,0,0,5,3
3857293,4885,0,3,2,0,8,4
3857293,783,2,5,3,0,7,6
3857292,795,0,1,1,0,1,5
3857292,770,1,12,4,0,6,11
3857291,772,3,7,3,0,4,8
3857291,795,0,0,0,0,6,0
3857290,773,0,3,0,0,5,3
3857290,2722,0,5,2,0,5,5
3857285,787,0,6,1,0,4,4
3857285,941,0,5,0,0,10,3
3857281,785,2,5,4,0,6,10
3857281,1833,1,1,1,0,3,2
3857280,2722,0,1,1,0,11,3
3857280,781,0,10,3,0,7,8
3857279,771,2,11,2,0,2,6
3857279,792,1,4,1,0,1,1
3857278,797,0,0,0,0,8,1
3857278,1839,1,9,3,0,4,5
3857277,788,0,5,0,0,7,2
3857277,785,0,4,1,0,7,1
3857276,1833,0,2,0,0,10,0
3857276,788,2,7,2,0,4,2
3857275,777,0,3,2,0,5,3
3857275,771,0,2,0,0,5,3
3857274,941,1,1,1,0,10,1
3857274,3565,0,7,1,0,6,4
3857273,907,0,4,2,0,7,3
3857273,797,0,5,2,0,4,6
3857272,768,0,5,1,0,6,3
3857272,1839,0,6,1,0,6,1
3857271,768,3,7,4,0,3,7
3857271,797,0,1,0,0,12,2
3857268,782,1,4,2,0,3,3
3857268,1833,0,14,2,0,10,3
3857265,794,0,5,1,0,6,4
3857265,789,0,1,0,0,8,2
3857262,791,1,5,3,0,5,6
3857262,780,1,10,6,0,4,6
3857261,907,0,2,0,0,8,1
3857261,768,0,9,2,0,6,7
3857255,778,0,2,0,0,8,3
3857255,772,1,5,3,0,3,5
3857254,776,0,3,2,0,8,5
3857254,777,0,8,1,0,5,1
